Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
yoeB,aatA,aatA,aatA,aatA,aatA,group_19,group_18,group_18,group_19,group_19,group_1642,group_18,group_19,group_18,tsf,group_19,group_18,group_18,group_18,group_1040,group_441,group_2985
yefM,yoeB,yoeB,yoeB,yoeB,yoeB,waaA,group_19,group_19,waaA,waaA,group_144,group_19,waaA,group_19,group_18,waaA,group_19,group_19,group_19,group_1978,aatA,group_1041
group_1311,yefM,yefM,yefM,yefM,yefM,group_441,waaA,waaA,group_441,group_441,ubiB,waaA,group_441,waaA,group_19,group_441,waaA,waaA,waaA,group_1979,yefM,group_2986
group_1312,group_1311,group_1311,group_1311,group_1311,group_1311,aatA,group_441,group_441,aatA,aatA,ubiE,group_441,aatA,group_441,waaA,aatA,group_441,group_441,group_441,rpoB,group_1311,group_2987
group_1313,group_1312,group_1312,group_1312,group_1312,group_1312,yoeB,aatA,aatA,yoeB,yoeB,mutM,aatA,yoeB,aatA,group_441,yoeB,aatA,aatA,aatA,rpoC,group_1312,group_2988
prs_1,group_1313,group_1313,group_1313,group_1313,group_1313,yefM,yoeB,yoeB,yefM,yefM,group_830,yoeB,yefM,yoeB,aatA,yefM,yoeB,yoeB,yoeB,group_1980,group_1313,ybhL
prs_2,prs_1,prs_1,prs_1,prs_1,prs_1,group_1311,yefM,yefM,group_1311,group_1311,group_1820,yefM,group_1311,yefM,yoeB,group_1311,yefM,yefM,yefM,group_1041,prs,group_2989
alr1,prs_2,prs_2,prs_2,prs_2,prs_2,group_1312,group_1311,group_1311,group_1312,group_1312,manC1,group_1311,group_1312,group_1311,yefM,group_1312,group_1311,group_1311,group_1311,group_1981,group_2490,group_2990
mlaE,alr1,alr1,alr1,alr1,alr1,group_1313,group_1312,group_1312,group_1313,group_1313,group_145,group_1312,group_1313,group_1312,group_1311,group_1313,group_1312,group_1312,group_1312,group_1982,alr1,group_1042
mkl,mlaE,mlaE,mlaE,mlaE,mlaE,prs_1,group_1313,group_1313,prs_1,prs_1,group_325,group_1313,prs_1,group_1313,group_1312,prs_1,group_1313,group_1313,group_1313,group_1983,mlaE,group_1043
group_186,mkl,mkl,mkl,mkl,mkl,prs_2,prs_1,prs_1,prs_2,prs_2,group_1821,prs_1,prs_2,prs_1,group_1313,prs_2,prs_1,prs_1,prs_1,ybhL,mkl,group_1044
group_187,group_186,group_186,group_186,group_186,group_186,alr1,prs_2,prs_2,alr1,alr1,group_146,prs_2,alr1,prs_2,prs_1,alr1,prs_2,prs_2,prs_2,group_1984,group_186,group_1986
group_188,group_1848,group_1848,group_1848,group_1848,group_1848,mlaE,alr1,alr1,mlaE,mlaE,group_147,alr1,mlaE,alr1,prs_2,mlaE,alr1,alr1,alr1,group_1985,group_187,group_1045
group_189,group_951,group_951,group_951,group_951,group_951,mkl,mlaE,mlaE,mkl,mkl,group_831,mlaE,mkl,mlaE,alr1,mkl,mlaE,mlaE,mlaE,group_1042,group_188,group_1046
group_190,group_187,group_187,group_187,group_187,group_187,group_186,mkl,mkl,group_186,group_186,group_832,mkl,group_186,mkl,mlaE,group_186,mkl,mkl,mkl,group_1043,group_189,group_2991
rpmB,group_188,group_188,group_188,group_188,group_188,group_951,group_186,group_186,group_951,group_951,group_1646,group_186,group_951,group_186,mkl,group_951,group_186,group_186,group_186,group_1044,group_190,group_2992
group_1318,group_189,group_189,group_189,group_189,group_189,group_187,group_951,group_951,group_187,group_187,group_1647,group_951,group_187,group_951,group_186,group_187,group_951,group_951,group_951,group_1986,rpmB,group_2993
engB,group_190,group_190,group_190,group_190,group_190,group_188,group_187,group_187,group_188,group_188,ycfH,group_187,group_188,group_187,group_951,group_188,group_187,group_187,group_187,group_1045,group_1318,group_2994
argB,rpmB,rpmB,rpmB,rpmB,rpmB,group_189,group_188,group_188,group_189,group_189,metG,group_188,group_189,group_188,group_187,group_189,group_188,group_188,group_188,group_1046,engB,group_1047
group_1319,group_1318,group_1318,group_1318,group_1318,group_1318,rpmB,group_189,group_189,rpmB,rpmB,tmk,group_189,rpmB,group_189,group_188,rpmB,group_189,group_189,group_189,group_1987,argB,group_2995
virB4_1,engB,engB,engB,engB,engB,group_1318,rpmB,rpmB,group_1318,group_1318,ousA,rpmB,group_1318,rpmB,group_189,group_1318,rpmB,rpmB,rpmB,group_1988,group_1319,group_2996
group_447,argB,argB,argB,argB,argB,engB,group_1318,group_1318,engB,engB,ubiA,group_1318,engB,group_1318,rpmB,engB,group_1318,group_1318,group_1318,group_1989,virB4_1,group_1048
group_448,group_1319,group_1319,group_1319,group_1319,group_1319,argB,engB,engB,argB,argB,rpnA,engB,argB,engB,group_1318,argB,engB,engB,engB,group_1047,group_447,group_2997
group_449,virB4_1,virB4_1,virB4_1,virB4_1,virB4_1,group_1319,argB,argB,group_1319,group_1319,valS,argB,group_1319,argB,engB,group_1319,argB,argB,argB,group_1990,group_448,group_2998
group_450,group_447,group_447,group_447,group_447,group_447,virB4_1,group_1319,group_1319,virB4_1,virB4_1,group_836,group_1319,virB4_1,group_1319,argB,virB4_1,group_1319,group_1319,group_1319,group_1991,group_449,group_2999
group_451,group_448,group_448,group_448,group_448,group_448,group_447,virB4_1,virB4_1,group_447,group_447,group_168,virB4_1,group_447,virB4_1,group_1319,group_447,virB4_1,virB4_1,virB4_1,group_1048,group_450,group_1049
group_452,group_449,group_449,group_449,group_449,group_449,group_448,group_447,group_447,group_448,group_448,group_148,group_447,group_448,group_447,virB4_1,group_448,group_447,group_447,group_447,group_1992,group_451,group_1050
pta,group_450,group_450,group_450,group_450,group_450,group_449,group_448,group_448,group_449,group_449,group_1651,group_448,group_449,group_448,group_447,group_449,group_448,group_448,group_448,group_1993,pta,group_3000
group_27,group_451,group_451,group_451,group_451,group_451,group_1775,group_449,group_449,group_1775,group_1775,group_327,group_449,group_1775,group_449,group_448,group_1775,group_449,group_449,group_449,group_1049,group_2491,group_3001
group_191,group_452,group_452,group_452,group_452,group_452,group_450,group_1775,group_1775,group_450,group_450,group_329,group_1775,group_450,group_1775,group_449,group_450,group_1775,group_1775,group_1775,group_1050,group_191,group_3002
ackA_1,pta,pta,pta,pta,pta,group_451,group_450,group_450,group_451,group_451,group_1652,group_450,group_451,group_450,group_1775,group_451,group_450,group_450,group_450,group_1994,ackA_2,hupB
ackA_2,group_27,group_27,group_27,group_27,group_27,pta,group_451,group_451,pta,pta,group_1653,group_451,pta,group_451,group_450,pta,group_451,group_451,group_451,group_1995,trmD,group_3003
group_453,group_191,group_191,group_191,group_191,group_191,ackA_1,pta,pta,ackA_1,ackA_1,group_330,pta,ackA_1,pta,group_451,ackA_1,pta,pta,pta,acrB,rplS,group_3004
group_1321,ackA_1,ackA_1,ackA_1,ackA_1,ackA_1,ackA_2,ackA_1,ackA_1,ackA_2,ackA_2,group_389,ackA_1,ackA_2,ackA_1,pta,ackA_2,ackA_1,ackA_1,ackA_1,hupB,group_1324,group_3005
trmD,ackA_2,ackA_2,ackA_2,ackA_2,ackA_2,group_453,ackA_2,ackA_2,group_453,group_453,group_837,ackA_2,group_453,ackA_2,ackA_1,group_453,ackA_2,ackA_2,ackA_2,group_1997,secF,hemW
rplS,group_453,group_453,group_453,group_453,group_453,trmD,group_453,group_453,trmD,trmD,group_1654,group_453,trmD,group_453,ackA_2,trmD,group_453,group_453,group_453,group_1998,nuoF,gltP
group_1324,group_1321,group_1321,group_1321,group_1321,group_1321,rplS,trmD,trmD,rplS,rplS,group_1655,trmD,rplS,trmD,group_453,rplS,trmD,trmD,trmD,group_1999,lepB,group_3007
secF,group_1849,group_1849,group_1849,group_1849,group_1849,group_1324,rplS,rplS,group_1324,group_1324,group_1656,rplS,group_1324,rplS,trmD,group_1324,rplS,rplS,rplS,group_2000,rnc,group_3008
nuoF,trmD,trmD,trmD,trmD,trmD,secF,group_1324,group_1324,secF,secF,group_72,group_1324,secF,group_1324,rplS,secF,group_1324,group_1324,group_1324,gltP,era,group_3009
lepB,rplS,rplS,rplS,rplS,rplS,nuoF,secF,secF,nuoF,nuoF,group_152,secF,nuoF,secF,group_1324,nuoF,secF,secF,secF,group_2001,ruvC,group_3010
rnc,group_1324,group_1324,group_1324,group_1324,group_1324,lepB,nuoF,nuoF,lepB,lepB,group_150,nuoF,lepB,nuoF,secF,lepB,nuoF,nuoF,nuoF,group_2002,trmJ,group_3011
era,secF,secF,secF,secF,secF,rnc,lepB,lepB,rnc,rnc,clpX,lepB,rnc,lepB,nuoF,rnc,lepB,lepB,lepB,group_2003,group_85,group_3012
ruvC,nuoF,nuoF,nuoF,nuoF,nuoF,era,rnc,rnc,era,era,group_331,rnc,era,rnc,lepB,era,rnc,rnc,rnc,group_2004,group_2492,group_1053
trmJ,lepB,lepB,lepB,lepB,lepB,ruvC,era,era,ruvC,ruvC,queC,era,ruvC,era,rnc,ruvC,era,era,era,group_2005,group_457,group_1054
group_85,rnc,rnc,rnc,rnc,rnc,trmJ,ruvC,ruvC,trmJ,trmJ,group_1658,ruvC,trmJ,ruvC,era,trmJ,ruvC,ruvC,ruvC,group_2006,apbC,group_1055
group_457,era,era,era,era,era,group_85,trmJ,trmJ,group_85,group_85,group_390,trmJ,group_85,trmJ,ruvC,group_85,trmJ,trmJ,trmJ,group_2007,group_1329,group_1056
apbC,ruvC,ruvC,ruvC,ruvC,ruvC,group_86,group_85,group_85,group_86,group_86,msbA_2,group_85,group_86,group_85,trmJ,group_86,group_85,group_85,group_85,group_1053,hflC,group_3013
group_1329,trmJ,trmJ,trmJ,trmJ,trmJ,group_457,group_86,group_86,group_457,group_457,group_840,group_86,group_457,group_86,group_85,group_457,group_86,group_86,group_86,group_1054,group_460,group_3014
hflC,group_85,group_85,group_85,group_85,group_85,apbC,group_457,group_457,apbC,apbC,mdtL_2,group_457,apbC,group_457,group_86,apbC,group_457,group_457,group_457,group_1055,group_461,group_3015
group_460,group_86,group_86,group_86,group_86,group_86,group_1329,apbC,apbC,group_1329,group_1329,lolC,apbC,group_1329,apbC,group_457,group_1329,apbC,apbC,apbC,group_2008,group_462,group_3016
group_1330,group_457,group_457,group_457,group_457,group_457,hflC,group_1329,group_1329,hflC,hflC,lolD,group_1329,hflC,group_1329,apbC,hflC,group_1329,group_1329,group_1329,group_1056,group_463,group_1057
group_461,apbC,apbC,apbC,apbC,apbC,group_460,hflC,hflC,group_460,group_460,group_844,hflC,group_460,hflC,group_1329,group_460,hflC,hflC,hflC,group_2009,sdhA,group_3017
group_462,group_1329,group_1329,group_1329,group_1329,group_1329,group_461,group_460,group_460,group_461,group_461,group_1660,group_460,group_461,group_460,hflC,group_461,group_460,group_460,group_460,group_2010,artQ,group_1058
group_463,hflC,hflC,hflC,hflC,hflC,group_462,group_461,group_461,group_462,group_462,ccmF,group_461,group_462,group_461,group_460,group_462,group_461,group_461,group_461,group_2011,rpsL,mtgA
sdhA,group_460,group_460,group_460,group_460,group_460,group_463,group_462,group_462,group_463,group_463,group_332,group_462,group_463,group_462,group_461,group_463,group_462,group_462,group_462,group_2012,rpsG,group_3018
artQ,group_461,group_461,group_461,group_461,group_461,sdhA,group_463,group_463,sdhA,sdhA,group_846,group_463,sdhA,group_463,group_462,sdhA,group_463,group_463,group_463,group_2013,fusA,group_1060
rpsL,group_462,group_462,group_462,group_462,group_462,artQ,sdhA,sdhA,artQ,artQ,group_333,sdhA,artQ,sdhA,group_463,artQ,sdhA,sdhA,sdhA,group_1057,secE,group_3019
rpsG,group_463,group_463,group_463,group_463,group_463,rpsL,artQ,artQ,rpsL,rpsL,group_975,artQ,rpsL,artQ,sdhA,rpsL,artQ,artQ,artQ,group_2014,nusG,group_3020
fusA,sdhA,sdhA,sdhA,sdhA,sdhA,rpsG,rpsL,rpsL,rpsG,rpsG,ompB_1,rpsL,rpsG,rpsL,artQ,rpsG,rpsL,rpsL,rpsL,group_1058,rplK,camB
secE,artQ,artQ,artQ,artQ,artQ,fusA,rpsG,rpsG,fusA,fusA,group_334,rpsG,fusA,rpsG,rpsL,fusA,rpsG,rpsG,rpsG,group_2015,rplA,group_3021
nusG,rpsL,rpsL,rpsL,rpsL,rpsL,secE,fusA,fusA,secE,secE,nagZ,fusA,secE,fusA,rpsG,secE,fusA,fusA,fusA,mtgA,group_2493,group_3022
rplK,rpsG,rpsG,rpsG,rpsG,rpsG,nusG,secE,secE,nusG,nusG,group_848,secE,nusG,secE,fusA,nusG,secE,secE,secE,group_2016,rplL,group_3023
rplA,fusA,fusA,fusA,fusA,fusA,rplK,nusG,nusG,rplK,rplK,ihfA,nusG,rplK,nusG,secE,rplK,nusG,nusG,nusG,group_1060,rpoB,group_3024
rplJ,secE,secE,secE,secE,secE,rplA,rplK,rplK,rplA,rplA,group_1665,rplK,rplA,rplK,nusG,rplA,rplK,rplK,rplK,group_2017,rpoC,group_3025
rplL,nusG,nusG,nusG,nusG,nusG,rplJ,rplA,rplA,rplJ,rplJ,bcp,rplA,rplJ,rplA,rplK,rplJ,rplA,rplA,rplA,group_2018,group_2495,group_1062
rpoB,rplK,rplK,rplK,rplK,rplK,rplL,rplJ,rplJ,rplL,rplL,lpxL,rplJ,rplL,rplJ,rplA,rplL,rplJ,rplJ,rplJ,camB,pepA,group_1063
rpoC,rplA,rplA,rplA,rplA,rplA,rpoB,rplL,rplL,rpoB,rpoB,lpxK,rplL,rpoB,rplL,rplJ,rpoB,rplL,rplL,rplL,group_2019,group_1337,group_3026
group_952,rplJ,rplJ,rplJ,rplJ,rplJ,rpoC,rpoB,rpoB,rpoC,rpoC,group_336,rpoB,rpoC,rpoB,rplL,rpoC,rpoB,rpoB,rpoB,group_2020,group_194,group_1064
pepA,rplL,rplL,rplL,rplL,rplL,group_952,rpoC,rpoC,group_952,group_952,rlmJ,rpoC,group_952,rpoC,rpoB,group_952,rpoC,rpoC,rpoC,group_2021,aspS,group_3027
group_1337,rpoB,rpoB,rpoB,rpoB,rpoB,pepA,group_952,group_952,pepA,pepA,ligA,group_952,pepA,group_952,rpoC,pepA,group_952,group_952,group_952,group_2022,group_2496,group_3028
group_194,rpoC,rpoC,rpoC,rpoC,rpoC,group_1337,pepA,pepA,group_1337,group_1337,group_1669,pepA,group_1337,pepA,group_952,group_1337,pepA,pepA,pepA,grxC,ybhL,group_1065
aspS,group_952,group_952,group_952,group_952,group_952,group_194,group_1337,group_1337,group_194,group_194,tgt,group_1337,group_194,group_1337,pepA,group_194,group_1337,group_1337,group_1337,group_1062,dapB,group_3029
group_1338,pepA,pepA,pepA,pepA,pepA,aspS,group_194,group_194,aspS,aspS,group_1822,group_194,aspS,group_194,group_1337,aspS,group_194,group_194,group_194,group_1063,ctcQ,cydA
ybhL,group_1337,group_1337,group_1337,group_1337,group_1337,group_1338,aspS,aspS,group_1338,group_1338,group_154,aspS,group_1338,aspS,group_194,group_1338,aspS,aspS,aspS,group_2024,artP,group_3030
dapB,group_194,group_194,group_194,group_194,group_194,ybhL,group_1338,group_1338,ybhL,ybhL,group_153,group_1338,ybhL,group_1338,aspS,ybhL,group_1338,group_1338,group_1338,def,gatB,group_1067
ctcQ,aspS,aspS,aspS,aspS,aspS,dapB,ybhL,ybhL,dapB,dapB,yhjE,ybhL,dapB,ybhL,group_1338,dapB,ybhL,ybhL,ybhL,group_1064,gatA,group_3031
artP,group_1338,group_1338,group_1338,group_1338,group_1338,ctcQ,dapB,dapB,ctcQ,ctcQ,group_976,dapB,ctcQ,dapB,ybhL,ctcQ,dapB,dapB,dapB,group_2026,GATC,group_1068
gatB,ybhL,ybhL,ybhL,ybhL,ybhL,artP,ctcQ,ctcQ,artP,artP,group_1672,ctcQ,artP,ctcQ,dapB,artP,ctcQ,ctcQ,ctcQ,group_2027,group_2497,group_3032
gatA,dapB,dapB,dapB,dapB,dapB,gatB,artP,artP,gatB,gatB,group_977,artP,gatB,artP,ctcQ,gatB,artP,artP,artP,group_2028,frr,group_3033
GATC,ctcQ,ctcQ,ctcQ,ctcQ,ctcQ,gatA,gatB,gatB,gatA,gatA,mlaD,gatB,gatA,gatB,artP,gatA,gatB,gatB,gatB,group_1065,pyrH,group_3034
group_1343,artP,artP,artP,artP,artP,GATC,gatA,gatA,GATC,GATC,group_851,gatA,GATC,gatA,gatB,GATC,gatA,gatA,gatA,group_2029,group_1344,group_3035
frr,gatB,gatB,gatB,gatB,gatB,group_1343,GATC,GATC,group_1343,group_1343,rnhA,GATC,group_1343,GATC,gatA,group_1343,GATC,GATC,GATC,cydA,emrB,group_1069
pyrH,gatA,gatA,gatA,gatA,gatA,frr,group_1343,group_1343,frr,frr,group_1674,group_1343,frr,group_1343,GATC,frr,group_1343,group_1343,group_1343,group_2030,group_473,group_3036
group_1344,GATC,GATC,GATC,GATC,GATC,pyrH,frr,frr,pyrH,pyrH,lpxI,frr,pyrH,frr,group_1343,pyrH,frr,frr,frr,group_1067,group_2498,group_3037
emrB,frr,frr,frr,frr,frr,group_1344,pyrH,pyrH,group_1344,group_1344,coaE,pyrH,group_1344,pyrH,frr,group_1344,pyrH,pyrH,pyrH,group_2031,group_88,group_1070
group_473,pyrH,pyrH,pyrH,pyrH,pyrH,emrB,group_1344,group_1344,emrB,emrB,dnaQ,group_1344,emrB,group_1344,pyrH,emrB,group_1344,group_1344,group_1344,group_1068,bamA,group_1071
group_1346,group_1344,group_1344,group_1344,group_1344,group_1344,group_473,emrB,emrB,group_473,group_473,group_339,emrB,group_473,emrB,group_1344,group_473,emrB,emrB,emrB,group_2032,mmpA,group_1072
group_88,emrB,emrB,emrB,emrB,emrB,group_1346,group_473,group_473,group_1346,group_1346,recB,group_473,group_1346,group_473,emrB,group_1346,group_473,group_473,group_473,group_2033,nusB,group_3038
group_1347,group_473,group_473,group_473,group_473,group_473,group_88,group_1346,group_1346,group_88,group_88,group_855,group_1346,group_88,group_1346,group_473,group_88,group_1346,group_1346,group_1346,group_2034,rlmE,group_3039
bamA,group_1346,group_1346,group_1346,group_1346,group_1346,group_1776,group_88,group_88,group_1776,group_1776,group_340,group_88,group_1776,group_88,group_1346,group_1776,group_88,group_88,group_88,group_1069,group_476,group_3040
mmpA,group_88,group_88,group_88,group_88,group_88,group_1347,group_1776,group_1776,group_1347,group_1347,group_856,group_1776,group_1347,group_1776,group_88,group_1347,group_1776,group_1776,group_1776,group_2035,group_2499,group_1073
nusB,group_1347,group_1347,group_1347,group_1347,group_1347,bamA,group_1347,group_1347,bamA,bamA,fabD,group_1347,bamA,group_1347,group_1776,bamA,group_1347,group_1347,group_1347,group_2036,ratA,group_3041
rlmE,bamA,bamA,bamA,bamA,bamA,mmpA,bamA,bamA,mmpA,mmpA,group_341,bamA,mmpA,bamA,group_1347,mmpA,bamA,bamA,bamA,group_1070,group_2500,group_2041
group_476,mmpA,mmpA,mmpA,mmpA,mmpA,nusB,mmpA,mmpA,nusB,nusB,group_1823,mmpA,nusB,mmpA,bamA,nusB,mmpA,mmpA,mmpA,group_1071,rsmE,group_1074
group_477,nusB,nusB,nusB,nusB,nusB,rlmE,nusB,nusB,rlmE,rlmE,group_342,nusB,rlmE,nusB,mmpA,rlmE,nusB,nusB,nusB,group_1072,group_480,group_2042
ratA,rlmE,rlmE,rlmE,rlmE,rlmE,group_476,rlmE,rlmE,group_476,group_476,group_343,rlmE,group_476,rlmE,nusB,group_476,rlmE,rlmE,rlmE,cpoB,mexB,suhB
group_479,group_476,group_476,group_476,group_476,group_476,group_477,group_476,group_476,group_477,group_477,group_858,group_476,group_477,group_476,rlmE,group_477,group_476,group_476,group_476,group_2038,ihfB_1,group_3042
rsmE,group_477,group_477,group_477,group_477,group_477,ratA,group_477,group_477,ratA,ratA,group_859,group_477,ratA,group_477,group_476,ratA,group_477,group_477,group_477,group_2039,group_482,group_2044
group_480,ratA,ratA,ratA,ratA,ratA,group_479,ratA,ratA,group_479,group_479,group_155,ratA,group_479,ratA,group_477,group_479,ratA,ratA,ratA,group_1073,ffh,group_526
mexB,group_479,group_479,group_479,group_479,group_479,rsmE,group_479,group_479,rsmE,rsmE,group_1824,group_479,rsmE,group_479,ratA,rsmE,group_479,group_479,group_479,group_2040,group_2502,group_3043
ihfB_1,rsmE,rsmE,rsmE,rsmE,rsmE,group_480,rsmE,rsmE,group_480,group_480,group_344,rsmE,group_480,rsmE,group_479,group_480,rsmE,rsmE,rsmE,group_2041,group_2503,group_3044
group_482,group_480,group_480,group_480,group_480,group_480,mexB,group_480,group_480,mexB,mexB,group_345,group_480,mexB,group_480,rsmE,mexB,group_480,group_480,group_480,group_1074,group_2504,group_3045
ffh,mexB,mexB,mexB,mexB,mexB,ihfB_1,mexB,mexB,ihfB_1,ihfB_1,group_1678,mexB,ihfB_1,mexB,group_480,ihfB_1,mexB,mexB,mexB,group_2042,group_2505,group_3046
f1pep1,ihfB_1,ihfB_1,ihfB_1,ihfB_1,ihfB_1,group_482,ihfB_1,ihfB_1,group_482,group_482,phaA,ihfB_1,group_482,ihfB_1,mexB,group_482,ihfB_1,ihfB_1,ihfB_1,suhB,moaA,group_1076
group_484,group_482,group_482,group_482,group_482,group_482,ffh,group_482,group_482,ffh,ffh,group_1825,group_482,ffh,group_482,ihfB_1,ffh,group_482,group_482,group_482,group_2043,group_198,group_3047
group_89,ffh,ffh,ffh,ffh,ffh,f1pep1,ffh,ffh,f1pep1,f1pep1,group_346,ffh,f1pep1,ffh,group_482,f1pep1,ffh,ffh,ffh,group_2044,group_2506,group_3048
moaA,group_1850,group_1850,group_1850,group_1850,group_1850,group_484,f1pep1,f1pep1,group_484,group_484,group_347,f1pep1,group_484,f1pep1,ffh,group_484,f1pep1,f1pep1,f1pep1,group_526,group_199,group_3049
group_198,f1pep1,f1pep1,f1pep1,f1pep1,f1pep1,group_90,group_484,group_484,group_90,group_90,tlcA_5,group_484,group_90,group_484,f1pep1,group_90,group_484,group_484,group_484,group_2045,group_201,group_1077
group_485,group_1851,group_1851,group_1851,group_1851,group_1851,group_89,group_90,group_90,group_89,group_89,group_860,group_90,group_89,group_90,group_484,group_89,group_90,group_90,group_90,group_2046,dctA,group_3050
group_199,group_484,group_484,group_484,group_484,group_484,moaA,group_89,group_89,moaA,moaA,group_159,group_89,moaA,group_89,group_90,moaA,group_89,group_89,group_89,group_2047,cutA,group_3051
group_200,group_1852,group_1852,group_1852,group_1852,group_1852,group_198,moaA,moaA,group_198,group_198,group_861,moaA,group_198,moaA,group_89,group_198,moaA,moaA,moaA,group_2048,group_487,group_3052
group_201,group_89,group_89,group_89,group_89,group_89,group_485,group_198,group_198,group_485,group_485,group_862,group_198,group_485,group_198,moaA,group_485,group_198,group_198,group_198,group_1076,sucB_1,group_1078
